time, x0, y0, z0, x1, y1, z1 
0.07500, -0.77957, -0.60471, -0.05531, -0.75148, -0.61600, 0.03902  
0.07600, -0.77988, -0.60791, -0.05789, -0.75396, -0.61014, 0.03513  
0.07700, -0.77995, -0.60820, -0.05783, -0.75266, -0.61325, 0.03969  
0.07800, -0.77749, -0.60795, -0.05655, -0.75621, -0.61481, 0.03683  
0.07900, -0.77717, -0.60593, -0.05640, -0.75693, -0.61108, 0.03651  
0.08000, -0.77829, -0.60825, -0.05636, -0.75457, -0.61857, 0.04341  
0.08100, -0.77877, -0.61226, -0.05884, -0.75325, -0.61384, 0.03923  
0.08200, -0.77944, -0.60946, -0.05857, -0.76103, -0.61457, 0.03231  
0.08300, -0.78041, -0.60728, -0.05558, -0.75447, -0.60488, 0.03637  
0.08400, -0.77810, -0.60959, -0.05943, -0.75611, -0.61401, 0.03946  
0.08500, -0.77909, -0.60717, -0.05852, -0.75384, -0.61134, 0.03836  
0.08600, -0.77858, -0.61117, -0.05796, -0.75836, -0.60791, 0.03820  
0.08700, -0.77795, -0.60839, -0.05919, -0.75380, -0.60562, 0.03227  
0.08800, -0.78016, -0.60711, -0.06086, -0.75907, -0.60650, 0.03653  
0.08900, -0.77965, -0.60402, -0.05987, -0.75455, -0.60535, 0.03586  
0.09000, -0.77541, -0.60305, -0.06006, -0.75476, -0.60915, 0.03830  
0.09100, -0.78211, -0.60556, -0.05930, -0.75481, -0.60717, 0.03437  
0.09200, -0.78142, -0.60678, -0.06115, -0.75571, -0.60705, 0.03492  
0.09300, -0.77980, -0.60541, -0.06149, -0.75508, -0.60720, 0.03887  
0.09400, -0.78070, -0.60434, -0.05880, -0.75712, -0.60642, 0.04126  
0.09500, -0.77936, -0.60186, -0.05892, -0.75373, -0.60757, 0.04227  
0.09600, -0.78049, -0.60371, -0.05966, -0.75193, -0.60730, 0.03807  
0.09700, -0.77690, -0.60144, -0.06107, -0.75306, -0.60812, 0.03544  
0.09800, -0.77898, -0.60265, -0.06054, -0.75521, -0.60577, 0.03853  
0.09900, -0.77831, -0.60396, -0.06136, -0.75687, -0.60961, 0.04156  
0.10000, -0.77913, -0.60289, -0.05999, -0.75470, -0.60677, 0.03967  
0.10100, -0.77950, -0.60253, -0.05939, -0.75087, -0.60833, 0.04299  
0.10200, -0.78138, -0.60429, -0.06048, -0.75453, -0.60705, 0.04061  
0.10300, -0.77831, -0.60295, -0.06058, -0.74907, -0.61296, 0.04425  
0.10400, -0.77667, -0.60513, -0.06044, -0.75571, -0.61150, 0.04034  
0.10500, -0.78081, -0.60913, -0.05985, -0.75060, -0.61058, 0.03973  
0.10600, -0.77599, -0.60793, -0.06220, -0.75920, -0.60810, 0.04192  
0.10700, -0.78104, -0.60768, -0.05968, -0.75422, -0.60955, 0.04164  
0.10800, -0.78018, -0.61018, -0.06094, -0.75588, -0.61230, 0.04227  
0.10900, -0.77942, -0.60913, -0.05991, -0.75602, -0.61201, 0.04122  
0.11000, -0.78051, -0.60959, -0.05667, -0.75726, -0.61079, 0.04482  
0.11100, -0.77896, -0.61468, -0.05728, -0.75666, -0.61348, 0.04297  
0.11200, -0.77942, -0.61089, -0.05678, -0.75521, -0.61638, 0.04190  
0.11300, -0.78104, -0.60951, -0.05598, -0.75548, -0.61230, 0.04124  
