time, x, y, z 
0.000136, -0.906620, 0.276508, 0.171204
0.000598, -0.914059, 0.277157, 0.165043
0.000841, -0.918903, 0.282211, 0.158958
0.001071, -0.921860, 0.288353, 0.151463
0.001291, -0.926876, 0.292110, 0.143681
0.001512, -0.928173, 0.297089, 0.135670
0.001734, -0.929737, 0.302525, 0.125446
0.001958, -0.934792, 0.309315, 0.115910
0.002179, -0.935040, 0.312386, 0.107975
0.002398, -0.933609, 0.316734, 0.098114
0.002618, -0.938110, 0.324917, 0.087776
0.002863, -0.940151, 0.330753, 0.074768
0.003092, -0.941467, 0.333996, 0.062962
0.003311, -0.942917, 0.342102, 0.051498
0.003531, -0.947037, 0.345383, 0.043373
0.003767, -0.946217, 0.344830, 0.035553
0.003988, -0.950260, 0.345268, 0.031605
0.004208, -0.952702, 0.347404, 0.020409
0.004427, -0.954170, 0.351124, 0.009995
0.004646, -0.953579, 0.353260, -0.001907
0.004868, -0.957298, 0.359249, -0.009499
0.005097, -0.958099, 0.361729, -0.016384
0.005319, -0.958939, 0.363350, -0.019493
0.005539, -0.965271, 0.361671, -0.022697
0.005760, -0.963955, 0.362625, -0.026588
0.006028, -0.969162, 0.369053, -0.035152
0.006255, -0.972214, 0.377903, -0.039310
0.006477, -0.977726, 0.381889, -0.043201
0.006709, -0.982304, 0.384445, -0.047798
0.006944, -0.985718, 0.387516, -0.046329
0.007166, -0.989876, 0.392380, -0.048962
0.007387, -0.996552, 0.397472, -0.054913
0.007608, -1.001587, 0.402184, -0.056515
0.007829, -1.006451, 0.407753, -0.056343
0.008052, -1.007614, 0.410404, -0.059433
0.008274, -1.016235, 0.412254, -0.061378
0.008494, -1.018009, 0.412865, -0.061512
0.008715, -1.023426, 0.412426, -0.063133
0.008939, -1.028843, 0.414619, -0.064449
0.009160, -1.034756, 0.421524, -0.068760
0.009383, -1.039619, 0.425358, -0.069828
0.009604, -1.042747, 0.421028, -0.069752
0.009825, -1.049480, 0.422249, -0.068626
0.010048, -1.054306, 0.425453, -0.071793
0.011103, -1.061440, 0.433064, -0.071125
0.011158, -1.068974, 0.436859, -0.069656
0.011494, -1.073227, 0.437698, -0.072746
0.011973, -1.077461, 0.440865, -0.077286
0.012476, -1.088066, 0.443230, -0.079269
0.012971, -1.097469, 0.446014, -0.082417
0.013456, -1.100616, 0.445423, -0.084038
0.014015, -1.108284, 0.453243, -0.090904
0.014465, -1.115055, 0.462475, -0.095177
0.014960, -1.120377, 0.463905, -0.096970
0.015446, -1.122913, 0.467644, -0.093880
0.016464, -1.137333, 0.474415, -0.101948
0.016970, -1.142483, 0.482273, -0.101624
0.017477, -1.143761, 0.492744, -0.107594
0.017926, -1.149387, 0.497913, -0.110111
0.018435, -1.156330, 0.500526, -0.111179
0.018936, -1.157703, 0.509987, -0.112934
0.019477, -1.161098, 0.513191, -0.116234
0.019963, -1.162224, 0.514259, -0.119781
0.020462, -1.163979, 0.523396, -0.121384
0.020950, -1.165752, 0.526505, -0.119858
0.021432, -1.168556, 0.536518, -0.118370
0.021893, -1.168098, 0.541801, -0.120449
0.022376, -1.168213, 0.543213, -0.122089
0.022934, -1.168194, 0.546169, -0.125751
0.023393, -1.166477, 0.554428, -0.122395
0.023878, -1.172047, 0.558205, -0.123463
0.024360, -1.166592, 0.563030, -0.123749
0.024895, -1.165676, 0.566387, -0.119705
0.025376, -1.159477, 0.567188, -0.115013
0.025869, -1.156254, 0.567322, -0.113373
0.026356, -1.152058, 0.567970, -0.115948
0.026853, -1.145725, 0.564938, -0.110340
0.027347, -1.142750, 0.565090, -0.103874
0.027840, -1.139851, 0.562840, -0.098553
0.028335, -1.133671, 0.564499, -0.095844
0.028828, -1.125431, 0.563030, -0.085545
0.029340, -1.118164, 0.559406, -0.079498
0.029842, -1.113548, 0.557232, -0.074635
0.030342, -1.105900, 0.553169, -0.068226
0.030834, -1.097775, 0.548534, -0.060768
0.031831, -1.078892, 0.540047, -0.046997
0.032810, -1.062737, 0.533943, -0.028706
0.033301, -1.052971, 0.534039, -0.022774
