time, x, y, z 
0.000114, -0.656166, -0.180836, -0.647926
0.000233, -0.672340, -0.244274, -0.658417
0.000286, -0.740719, -0.234814, -0.615330
0.000388, -0.768967, -0.262833, -0.560989
0.000439, -0.719738, -0.290298, -0.508003
0.000489, -0.676842, -0.337944, -0.460739
0.000538, -0.662994, -0.395813, -0.484238
0.000586, -0.628567, -0.432243, -0.497856
0.000636, -0.612431, -0.455627, -0.464344
0.000684, -0.632458, -0.436554, -0.409718
0.000733, -0.681820, -0.391369, -0.383434
0.000781, -0.759258, -0.330925, -0.408497
0.000830, -0.857868, -0.369873, -0.460949
0.000878, -0.939465, -0.381451, -0.488834
0.000925, -0.969925, -0.364647, -0.432110
0.000973, -0.985336, -0.352192, -0.386238
0.001021, -0.934200, -0.400143, -0.412903
0.001070, -0.873318, -0.429153, -0.465469
0.001118, -0.882664, -0.308971, -0.508251
0.001166, -0.877419, -0.167694, -0.487995
0.001214, -0.845127, -0.197887, -0.525227
0.001262, -0.785828, -0.319042, -0.480614
0.001310, -0.717964, -0.361023, -0.487957
0.001363, -0.656452, -0.315056, -0.451221
0.001438, -0.647678, -0.250282, -0.452137
0.001488, -0.664806, -0.214443, -0.441322
0.001857, -0.704937, -0.090427, -0.545044
0.002362, -0.748043, -0.056210, -0.621014
0.002863, -0.851154, -0.197220, -0.598736
0.003365, -0.886173, -0.276852, -0.449314
0.003863, -0.808945, -0.287113, -0.364399
0.004364, -0.748177, -0.320911, -0.363045
0.004862, -0.818596, -0.456562, -0.394230
0.005363, -0.948906, -0.426102, -0.274372
0.006278, -0.989075, -0.330029, -0.236454
0.006760, -0.903511, -0.305481, -0.314503
0.007294, -0.778179, -0.310402, -0.378609
0.007776, -0.707703, -0.244770, -0.448570
0.008262, -0.654602, -0.245132, -0.370655
0.008743, -0.652561, -0.244026, -0.422230
0.009277, -0.681591, -0.316010, -0.488281
0.009760, -0.702229, -0.295410, -0.491047
0.010243, -0.731983, -0.168476, -0.365105
0.010746, -0.793095, -0.112152, -0.318985
0.011230, -1.039715, -0.007687, -0.509987
0.011715, -1.465912, -0.089264, -0.709972
0.012252, -1.658154, -0.112000, -0.506554
0.012736, -1.499062, -0.076656, -0.294552
0.013222, -1.192150, -0.140095, -0.146866
0.013704, -0.937862, -0.230179, -0.293465
0.014215, -0.737877, -0.354366, -0.319843
0.014704, -0.588169, -0.311451, -0.238361
0.015188, -0.557537, -0.218067, -0.213108
0.016171, -0.747795, -0.106945, -0.543842
0.016697, -0.737934, -0.167046, -0.495815
0.017187, -0.689659, -0.250683, -0.406494
0.017670, -0.678902, -0.259571, -0.376339
0.018154, -0.693130, -0.317059, -0.493565
0.018693, -0.695534, -0.302944, -0.482044
0.019177, -0.720749, -0.248432, -0.359459
0.019680, -0.762081, -0.156212, -0.337791
0.020181, -0.791264, -0.204239, -0.433998
0.020652, -0.799408, -0.290623, -0.490093
0.021151, -0.798244, -0.392475, -0.417671
0.021648, -0.858707, -0.337219, -0.394840
0.022125, -0.998726, -0.373783, -0.380936
0.022641, -1.093960, -0.430050, -0.315456
0.023137, -1.127262, -0.339108, -0.202007
0.024139, -1.151772, -0.328369, -0.047836
0.024598, -1.132431, -0.185490, -0.270252
0.025135, -0.997639, -0.234604, -0.286903
0.025617, -0.912838, -0.042953, -0.477028
0.026111, -0.944786, 0.096951, -0.590382
0.026582, -1.026268, 0.059643, -0.700397
0.028103, -0.742130, -0.168743, -0.323906
0.028586, -0.707760, -0.195122, -0.432796
0.029071, -0.739365, -0.384369, -0.386467
0.029555, -0.831509, -0.407257, -0.265694
0.030542, -0.955830, -0.177174, -0.261059
0.031056, -1.090412, 0.016899, -0.410004
0.031538, -1.158867, -0.002575, -0.436535
0.032567, -1.003475, -0.358124, -0.393124
0.033055, -0.949459, -0.399132, -0.299072
