time, x, y, z 
0.000124, -0.826092, -0.293026, 0.442905
0.000485, -0.828438, -0.312977, 0.438919
0.000613, -0.839462, -0.280247, 0.463696
0.000730, -0.849743, -0.248680, 0.462780
0.000844, -0.844250, -0.256348, 0.457516
0.000955, -0.833549, -0.279331, 0.455379
0.001066, -0.823822, -0.298405, 0.445766
0.001179, -0.829468, -0.300655, 0.469284
0.001289, -0.839691, -0.302505, 0.469837
0.001399, -0.841103, -0.342464, 0.444984
0.001509, -0.827122, -0.353508, 0.449257
0.001620, -0.809708, -0.346222, 0.459747
0.001731, -0.812359, -0.316982, 0.474319
0.001842, -0.833168, -0.282764, 0.485973
0.001953, -0.838470, -0.266171, 0.479050
0.002062, -0.827713, -0.284252, 0.471840
0.002174, -0.828495, -0.280266, 0.488644
0.002283, -0.834446, -0.284481, 0.484638
0.002392, -0.820808, -0.299416, 0.477333
0.002502, -0.815468, -0.303936, 0.475235
0.002613, -0.815830, -0.286751, 0.472088
0.002724, -0.819874, -0.298939, 0.468922
0.002832, -0.819588, -0.299377, 0.466042
0.002941, -0.824795, -0.280762, 0.468922
0.003050, -0.846615, -0.260754, 0.464840
0.003163, -0.853405, -0.272427, 0.455952
0.003272, -0.838413, -0.290661, 0.452862
0.003380, -0.833988, -0.294247, 0.456161
0.003490, -0.837555, -0.299149, 0.447254
0.003600, -0.839748, -0.302048, 0.442123
0.004526, -0.851402, -0.261822, 0.455990
0.005042, -0.853348, -0.250854, 0.461178
0.005677, -0.838490, -0.265865, 0.458221
0.006014, -0.817719, -0.289211, 0.452633
0.006537, -0.799198, -0.321674, 0.452690
0.007059, -0.794449, -0.348034, 0.447769
0.007580, -0.797920, -0.353470, 0.442066
0.007968, -0.804806, -0.352116, 0.447292
0.008491, -0.816135, -0.338802, 0.449638
0.009015, -0.830593, -0.324764, 0.454617
0.009533, -0.828438, -0.315933, 0.457306
0.010062, -0.809841, -0.314636, 0.459518
0.010411, -0.799217, -0.325718, 0.450401
0.010879, -0.783329, -0.353832, 0.449600
0.012251, -0.789890, -0.358601, 0.447464
0.012307, -0.819378, -0.347157, 0.439415
0.012356, -0.822811, -0.332584, 0.436974
0.012892, -0.804005, -0.327148, 0.431900
0.013881, -0.798035, -0.336208, 0.430298
0.014365, -0.805759, -0.335846, 0.427341
0.014849, -0.817204, -0.331135, 0.426331
0.015331, -0.809803, -0.333672, 0.428734
0.015869, -0.801258, -0.347176, 0.424614
0.016344, -0.806656, -0.341473, 0.423241
0.016835, -0.826607, -0.303631, 0.432186
0.017323, -0.824337, -0.311184, 0.429764
0.017815, -0.796680, -0.341339, 0.430470
0.018326, -0.783062, -0.344162, 0.444469
0.018808, -0.805817, -0.339031, 0.447311
0.019292, -0.813618, -0.358810, 0.451374
0.019829, -0.803909, -0.363255, 0.438232
0.020314, -0.814552, -0.348301, 0.427265
0.020797, -0.823708, -0.336933, 0.422688
0.021287, -0.802116, -0.348969, 0.424557
0.021772, -0.785618, -0.347958, 0.432987
0.022323, -0.786591, -0.340233, 0.445518
