time, x, y, z 
0.000816, -1.049232, -0.420704, -0.347023
0.000999, -0.899467, -0.427456, -0.251293
0.001053, -0.767498, -0.710621, -0.133781
0.001103, -0.754795, -0.817471, -0.256443
0.001158, -0.839920, -0.734882, -0.391350
0.001206, -0.962715, -0.843372, -0.406017
0.001287, -0.946503, -0.643291, -0.311775
0.001370, -0.804272, -0.514469, -0.161629
0.001454, -0.663605, -0.371361, -0.215778
0.001537, -0.565033, -0.412388, -0.336742
0.001618, -0.602551, -0.471268, -0.299416
0.001698, -0.687504, -0.506802, -0.227509
0.001779, -0.712433, -0.528831, -0.246506
0.001865, -0.678787, -0.469952, -0.227337
0.002000, -0.676994, -0.513477, -0.227489
0.002051, -0.775185, -0.660381, -0.303555
0.002106, -0.893326, -0.725155, -0.313797
0.002155, -0.919323, -0.491333, -0.275879
0.002204, -0.963440, -0.569382, -0.137138
0.002253, -1.034565, -0.560360, -0.174427
0.002302, -0.992870, -0.421753, -0.145702
0.002352, -0.974655, -0.571728, -0.179100
0.002400, -0.997677, -0.597076, -0.150280
0.002449, -0.930367, -0.531940, -0.151215
0.002498, -0.794830, -0.423374, -0.159988
0.002557, -0.783596, -0.547905, -0.101662
0.002607, -0.772610, -0.410595, -0.159988
0.002656, -0.692959, -0.287514, -0.218487
0.002782, -0.611153, -0.207233, -0.159454
0.003281, -0.580482, -0.253506, 0.029392
0.003783, -0.620251, -0.327988, -0.033703
0.004334, -0.725117, -0.393791, -0.247498
0.004766, -0.851383, -0.485458, -0.328503
0.005267, -0.951939, -0.582695, -0.261402
0.005716, -1.030464, -0.713787, -0.128880
0.006201, -1.027374, -0.772915, -0.128746
0.006736, -0.992489, -0.769672, -0.236263
0.007221, -0.982609, -0.700684, -0.269375
0.007704, -0.979881, -0.637760, -0.167351
0.008188, -0.934830, -0.609894, -0.064983
0.009212, -0.931759, -0.607204, -0.214558
0.009695, -0.938091, -0.636311, -0.154896
0.010181, -0.871296, -0.520191, -0.091400
0.010666, -0.797596, -0.545254, -0.156841
0.011154, -0.720158, -0.509491, -0.275154
0.011696, -0.618744, -0.417290, -0.299587
0.012183, -0.546970, -0.393047, -0.230274
0.012668, -0.553398, -0.420818, -0.206966
0.013144, -0.633888, -0.458508, -0.239410
0.013644, -0.703487, -0.458393, -0.294647
0.014137, -0.778084, -0.557308, -0.322495
0.014664, -0.890884, -0.679550, -0.332279
0.015124, -0.984821, -0.774670, -0.237541
0.015627, -1.032181, -0.739079, -0.247364
0.016121, -1.053505, -0.725460, -0.212193
0.016615, -1.008358, -0.657406, -0.173664
0.017120, -0.865707, -0.545235, -0.225410
0.017624, -0.700512, -0.460339, -0.240612
0.018132, -0.590839, -0.469475, -0.276070
0.018630, -0.583668, -0.496883, -0.217552
0.019123, -0.621758, -0.477104, -0.172501
0.019619, -0.662136, -0.441341, -0.214653
0.020126, -0.704708, -0.434589, -0.253716
0.020579, -0.740700, -0.426865, -0.256767
0.021114, -0.764122, -0.451317, -0.215759
0.021573, -0.774403, -0.476303, -0.221806
0.022584, -0.893764, -0.536957, -0.410061
0.023062, -0.887394, -0.479774, -0.343418
0.023541, -0.853863, -0.582180, -0.247784
0.024042, -0.879574, -0.689220, -0.192871
0.024546, -0.911522, -0.664272, -0.252972
0.025043, -0.944042, -0.593300, -0.320644
0.025542, -0.925331, -0.576572, -0.233097
0.026040, -0.856514, -0.573292, -0.124741
0.026538, -0.778942, -0.558376, -0.189991
0.027034, -0.713196, -0.495625, -0.302563
0.027527, -0.654583, -0.435047, -0.360165
0.028020, -0.623493, -0.468521, -0.311584
0.028515, -0.665913, -0.532722, -0.240955
0.029030, -0.740414, -0.564003, -0.256653
0.029498, -0.830574, -0.573044, -0.266781
0.029997, -0.923405, -0.578613, -0.247097
0.030492, -0.978622, -0.585728, -0.257225
0.031005, -0.945015, -0.496426, -0.275402
0.031510, -0.836601, -0.429859, -0.283318
0.031960, -0.726185, -0.409737, -0.324440
0.032460, -0.643978, -0.436954, -0.327263
0.032952, -0.606480, -0.429821, -0.313148
0.033450, -0.637321, -0.473156, -0.316620
0.033953, -0.748577, -0.564938, -0.246639
0.034461, -0.838413, -0.529118, -0.276814
0.034960, -0.862598, -0.545883, -0.264397
0.035464, -0.856133, -0.548992, -0.286446
0.035957, -0.845375, -0.545769, -0.299416
0.036456, -0.807438, -0.486526, -0.301247
0.036953, -0.738316, -0.407867, -0.346241
0.037451, -0.648308, -0.399532, -0.334930
0.037949, -0.600033, -0.453072, -0.322895
0.038445, -0.628109, -0.443497, -0.309391
0.038945, -0.691643, -0.403347, -0.302086
0.039442, -0.766430, -0.431633, -0.241833
0.039938, -0.824356, -0.477581, -0.198727
0.040435, -0.860596, -0.520592, -0.174789
0.040935, -0.905170, -0.504017, -0.198154
0.041430, -0.942268, -0.492802, -0.150394
0.041930, -0.955467, -0.493908, -0.114155
0.042426, -0.937653, -0.519352, -0.143108
0.042922, -0.900803, -0.528545, -0.168972
0.043419, -0.852509, -0.489960, -0.175781
0.043862, -0.817089, -0.496006, -0.185127
0.044348, -0.798531, -0.553036, -0.176392
0.044850, -0.798035, -0.621014, -0.159092
0.045346, -0.821838, -0.664139, -0.097733
0.045840, -0.845985, -0.633125, -0.099087
0.046361, -0.858765, -0.622444, -0.082550
0.046931, -0.844097, -0.596790, -0.100250
0.047344, -0.828991, -0.567780, -0.122566
0.047845, -0.836143, -0.522480, -0.159893
0.048346, -0.853958, -0.505428, -0.171890
0.048840, -0.876503, -0.523968, -0.145378
0.049334, -0.895214, -0.527630, -0.136776
0.049825, -0.881748, -0.498428, -0.171509
0.050323, -0.858669, -0.491238, -0.186749
0.050832, -0.857067, -0.530853, -0.155983
0.051315, -0.861092, -0.530720, -0.123558
0.051794, -0.870743, -0.531693, -0.132656
0.052768, -0.883541, -0.564747, -0.089417
0.053267, -0.875130, -0.559368, -0.075321
0.053765, -0.872555, -0.570126, -0.078373
0.054348, -0.881844, -0.574226, -0.080872
0.054787, -0.891018, -0.563889, -0.091076
0.055268, -0.896950, -0.551090, -0.109959
0.055746, -0.895290, -0.539398, -0.128059
0.056271, -0.887623, -0.523815, -0.149326
0.056730, -0.883236, -0.505619, -0.172539
0.057254, -0.880375, -0.491219, -0.202141
0.057727, -0.864162, -0.479412, -0.233040
0.058217, -0.846252, -0.473328, -0.258198
0.058715, -0.826035, -0.478344, -0.289841
0.059260, -0.809231, -0.484810, -0.315228
0.059735, -0.791245, -0.500603, -0.330544
0.060209, -0.782890, -0.512924, -0.339947
0.060742, -0.773296, -0.524693, -0.346718
0.061216, -0.771542, -0.526524, -0.349922
0.061702, -0.775948, -0.521049, -0.343189
0.062191, -0.782928, -0.507317, -0.332661
0.062718, -0.792713, -0.502548, -0.327644
0.063206, -0.791111, -0.490494, -0.318680
0.063687, -0.798721, -0.482597, -0.312290
0.064185, -0.814514, -0.470219, -0.309143
0.064684, -0.823040, -0.461349, -0.305481
0.065203, -0.827198, -0.452957, -0.304680
0.065677, -0.830040, -0.449104, -0.305481
0.066164, -0.825958, -0.446262, -0.304127
0.066684, -0.824471, -0.444031, -0.305595
0.067661, -0.822067, -0.445271, -0.312214
0.068166, -0.816422, -0.447330, -0.313225
0.068673, -0.813351, -0.443649, -0.314674
0.069128, -0.812168, -0.449009, -0.316677
0.069638, -0.802727, -0.457344, -0.315266
0.070107, -0.795879, -0.461445, -0.313168
0.070609, -0.795689, -0.461845, -0.311260
0.071128, -0.789776, -0.467148, -0.311718
0.071631, -0.789394, -0.464573, -0.307560
0.072135, -0.789185, -0.470009, -0.297642
0.072601, -0.777283, -0.474644, -0.296459
0.073083, -0.772533, -0.479374, -0.291996
0.073798, -0.773277, -0.475006, -0.292339
0.074119, -0.772285, -0.476780, -0.293789
0.074716, -0.771866, -0.482197, -0.288868
0.075191, -0.772762, -0.480461, -0.287991
0.075558, -0.774307, -0.483341, -0.284481
0.076165, -0.772018, -0.488873, -0.282650
0.076588, -0.771713, -0.491734, -0.283833
0.077103, -0.774632, -0.490284, -0.282574
0.077576, -0.768261, -0.498066, -0.278015
0.078239, -0.766163, -0.491734, -0.282726
0.078684, -0.774479, -0.489159, -0.290070
0.079060, -0.771847, -0.491009, -0.284042
0.079736, -0.768681, -0.492821, -0.281105
0.080173, -0.771008, -0.499420, -0.280018
0.080675, -0.774250, -0.494766, -0.285091
0.081027, -0.775700, -0.487347, -0.289555
0.081548, -0.776920, -0.492496, -0.281487
