time, x, y, z 
0.000100, -0.759392, 0.065422, 0.640640
0.000206, -0.754490, 0.063763, 0.639057
0.000257, -0.755196, 0.061207, 0.639915
0.000305, -0.754890, 0.063725, 0.637321
0.000355, -0.754375, 0.060368, 0.640717
0.000405, -0.753937, 0.060272, 0.643272
0.000452, -0.754337, 0.061951, 0.641861
0.000500, -0.750599, 0.062695, 0.642014
0.000549, -0.751915, 0.064964, 0.640545
0.000597, -0.750923, 0.062485, 0.638847
0.000645, -0.746784, 0.059338, 0.639572
0.000693, -0.743999, 0.055065, 0.641384
0.000741, -0.743580, 0.057621, 0.642147
0.000790, -0.744572, 0.056820, 0.639896
0.000838, -0.748062, 0.056534, 0.641441
0.000886, -0.742435, 0.057449, 0.645561
0.000933, -0.741844, 0.056419, 0.645943
0.000981, -0.742874, 0.054970, 0.644760
0.001029, -0.740891, 0.053539, 0.641174
0.001078, -0.737686, 0.057182, 0.644283
0.001126, -0.738945, 0.055313, 0.646820
0.001174, -0.736275, 0.056381, 0.646763
0.001222, -0.736713, 0.057316, 0.644646
0.001270, -0.736427, 0.060310, 0.643673
0.001318, -0.734997, 0.056534, 0.640965
0.001373, -0.731831, 0.055523, 0.643101
0.001757, -0.731926, 0.054760, 0.643559
0.002176, -0.732517, 0.054874, 0.643406
0.002668, -0.730743, 0.054340, 0.642242
0.003160, -0.730228, 0.048752, 0.642300
0.003651, -0.730000, 0.051022, 0.639324
0.004152, -0.731106, 0.055885, 0.639572
0.004639, -0.731373, 0.057755, 0.644836
0.005173, -0.728188, 0.057621, 0.644188
0.005657, -0.726547, 0.052967, 0.639763
0.006139, -0.724564, 0.054874, 0.640373
0.006622, -0.724850, 0.051556, 0.637703
0.007156, -0.730095, 0.050888, 0.636635
0.007640, -0.728912, 0.048313, 0.638733
0.008122, -0.728245, 0.047436, 0.638008
0.008605, -0.728168, 0.050449, 0.636044
0.009139, -0.725632, 0.048485, 0.634747
0.009624, -0.725327, 0.050411, 0.636139
0.010106, -0.726051, 0.050430, 0.634556
0.010591, -0.719433, 0.046368, 0.634918
0.011076, -0.717487, 0.044765, 0.639133
0.011616, -0.722256, 0.044117, 0.639133
0.012107, -0.720406, 0.048122, 0.640087
0.012570, -0.719929, 0.047417, 0.640240
0.013058, -0.719910, 0.045433, 0.641289
0.013574, -0.721073, 0.047340, 0.642338
0.014058, -0.719872, 0.044956, 0.643845
0.014544, -0.719051, 0.046425, 0.645618
0.015085, -0.723724, 0.048122, 0.644722
0.015574, -0.721436, 0.046329, 0.644855
0.016062, -0.718136, 0.044212, 0.643768
0.016553, -0.719433, 0.043793, 0.639648
0.017047, -0.718956, 0.046062, 0.644321
0.017530, -0.719433, 0.049305, 0.643463
0.018013, -0.716839, 0.045662, 0.635300
0.018547, -0.716171, 0.047398, 0.636177
0.019036, -0.719433, 0.049095, 0.635567
0.019525, -0.716438, 0.049801, 0.633240
0.020023, -0.715923, 0.048389, 0.631142
0.020493, -0.716076, 0.047112, 0.632248
0.021001, -0.714397, 0.045929, 0.634537
0.021515, -0.711861, 0.049438, 0.635509
0.021997, -0.711479, 0.053139, 0.634632
0.022500, -0.708599, 0.051517, 0.635090
0.022978, -0.710621, 0.056915, 0.636921
0.023466, -0.713730, 0.059834, 0.640583
0.023972, -0.711594, 0.063972, 0.641651
0.024456, -0.709267, 0.063114, 0.639057
0.024994, -0.707550, 0.067196, 0.635853
0.025476, -0.705490, 0.069656, 0.639000
0.025961, -0.704536, 0.069828, 0.640507
0.026447, -0.702972, 0.070324, 0.640221
0.026933, -0.706348, 0.068645, 0.638733
0.027471, -0.704327, 0.072117, 0.636578
0.027962, -0.705280, 0.067825, 0.638084
0.028449, -0.705070, 0.069027, 0.638924
0.028953, -0.706882, 0.071430, 0.640278
0.029440, -0.705814, 0.071774, 0.639286
0.031406, -0.709038, 0.067291, 0.631123
0.031896, -0.715256, 0.065956, 0.633335
0.032384, -0.714779, 0.064850, 0.635796
0.032920, -0.716858, 0.067635, 0.636215
0.033406, -0.718937, 0.063782, 0.634403
0.033891, -0.719509, 0.062237, 0.636406
0.034376, -0.723209, 0.063076, 0.636559
0.034873, -0.725040, 0.063438, 0.640068
0.035357, -0.720005, 0.063553, 0.639706
0.035892, -0.717983, 0.063057, 0.641251
0.036376, -0.719261, 0.065079, 0.643692
0.036859, -0.716286, 0.066738, 0.645943
0.037345, -0.715942, 0.064621, 0.649395
0.038343, -0.714378, 0.062695, 0.652657
0.038824, -0.713634, 0.065498, 0.651474
0.039359, -0.715580, 0.067635, 0.649624
0.039842, -0.711975, 0.063820, 0.649509
0.040327, -0.714684, 0.062981, 0.648441
0.040809, -0.715828, 0.065384, 0.647583
0.041821, -0.715256, 0.062428, 0.647678
0.042308, -0.712528, 0.062351, 0.650330
0.042790, -0.714073, 0.061779, 0.652237
0.043325, -0.717964, 0.061817, 0.658493
0.043807, -0.716839, 0.064926, 0.657787
0.044291, -0.720520, 0.062580, 0.661850
0.044774, -0.727654, 0.065727, 0.667820
0.045309, -0.733604, 0.066929, 0.672665
0.045791, -0.744419, 0.066910, 0.684605
0.046302, -0.774040, 0.076199, 0.755768
0.046804, -0.815372, 0.085564, 0.828590
0.047309, -0.836735, 0.095863, 0.834198
0.048729, -0.867176, 0.102882, 0.711975
0.049288, -0.831833, 0.106316, 0.633659
0.049749, -0.797844, 0.089417, 0.558853
0.050233, -0.777397, 0.073757, 0.523968
0.050722, -0.754795, 0.075855, 0.533066
0.051216, -0.737057, 0.073051, 0.564995
0.051730, -0.735588, 0.065365, 0.602551
0.052211, -0.744133, 0.061016, 0.624981
