time, x, y, z 
0.000755, -0.795536, 0.505123, 0.087223
0.001117, -0.797520, 0.503883, 0.091343
0.001253, -0.798244, 0.504684, 0.093060
0.001369, -0.799675, 0.505333, 0.095291
0.001487, -0.799580, 0.502338, 0.101051
0.001602, -0.800781, 0.500317, 0.104923
0.001720, -0.802784, 0.501156, 0.107708
0.001829, -0.806503, 0.496426, 0.109634
0.001939, -0.806999, 0.494118, 0.112858
0.002078, -0.805950, 0.492401, 0.119686
0.002190, -0.805244, 0.489445, 0.123558
0.002315, -0.803928, 0.489388, 0.124378
0.002426, -0.801773, 0.487709, 0.125980
0.002587, -0.802250, 0.486736, 0.128193
0.002699, -0.803566, 0.485325, 0.131664
0.002812, -0.801601, 0.482426, 0.135155
0.002924, -0.802345, 0.481567, 0.137806
0.003035, -0.801258, 0.479927, 0.141449
0.003164, -0.798016, 0.474796, 0.143070
0.003275, -0.797958, 0.472355, 0.144463
0.003399, -0.796814, 0.468140, 0.146770
0.003515, -0.792217, 0.464821, 0.146770
0.003630, -0.795650, 0.462799, 0.148869
0.003740, -0.792885, 0.457172, 0.150051
0.003851, -0.790119, 0.457344, 0.151043
0.003997, -0.790520, 0.456638, 0.151005
0.004118, -0.791092, 0.454502, 0.152130
0.004238, -0.788040, 0.453072, 0.150833
0.004348, -0.789738, 0.448837, 0.147705
0.004458, -0.787106, 0.449352, 0.150642
0.004571, -0.782471, 0.450516, 0.149860
0.004687, -0.779419, 0.451050, 0.149975
0.004799, -0.780239, 0.447445, 0.149975
0.005185, -0.777264, 0.445614, 0.150318
0.005705, -0.775852, 0.449886, 0.152454
0.006100, -0.770741, 0.450573, 0.150566
0.006632, -0.766850, 0.449467, 0.149708
0.007152, -0.766258, 0.449486, 0.151768
0.007675, -0.764809, 0.453186, 0.148430
0.008063, -0.783043, 0.482674, 0.167542
0.008585, -0.844135, 0.549831, 0.173454
0.009108, -0.989609, 0.698566, 0.233841
0.009627, -1.358566, 1.110630, 0.442371
0.010160, -1.820984, 1.424828, 0.722313
0.010546, -1.998482, 1.206837, 0.480556
0.012504, -1.725407, 0.612335, 0.119934
0.012562, -1.221752, 0.212193, -0.061760
0.012611, -0.767612, 0.239296, -0.040722
0.012660, -0.504017, 0.468826, 0.108452
0.013005, -0.431805, 0.530891, 0.279274
0.013497, -0.509739, 0.414715, 0.209465
0.013946, -0.647850, 0.416088, 0.108643
0.014478, -0.795956, 0.587406, 0.037575
0.014947, -0.916786, 0.687923, 0.065613
0.015435, -0.969238, 0.603619, 0.162945
0.016424, -0.826855, 0.438309, 0.268383
0.016928, -0.758247, 0.430546, 0.191650
0.017418, -0.728703, 0.442810, 0.077496
0.017906, -0.738564, 0.456333, 0.077572
0.018940, -0.810833, 0.470181, 0.259075
0.019431, -0.828419, 0.459919, 0.305233
0.019936, -0.830746, 0.455132, 0.252285
0.020415, -0.816498, 0.438061, 0.168324
0.020926, -0.809593, 0.412388, 0.133305
0.021376, -0.809784, 0.387993, 0.160236
0.021880, -0.814514, 0.404282, 0.228882
0.022805, -0.819073, 0.429249, 0.265903
0.022891, -0.830231, 0.410080, 0.263119
0.023886, -0.819035, 0.385971, 0.180130
0.024369, -0.806522, 0.411129, 0.192604
0.024850, -0.805397, 0.431328, 0.252056
0.025333, -0.821667, 0.407887, 0.269852
0.025866, -0.836029, 0.392475, 0.243320
0.026353, -0.829315, 0.416336, 0.226326
0.026838, -0.818138, 0.432167, 0.230579
0.027325, -0.817413, 0.410671, 0.232563
0.028840, -0.827656, 0.424709, 0.191174
0.029323, -0.846157, 0.418262, 0.171089
0.029825, -0.854206, 0.400906, 0.203476
0.030309, -0.860901, 0.393753, 0.268631
0.030792, -0.851879, 0.405865, 0.291538
0.031810, -0.832882, 0.411663, 0.162106
0.032292, -0.829601, 0.413551, 0.131187
0.032798, -0.845566, 0.406132, 0.174503
0.033283, -0.859375, 0.397682, 0.224628
0.033765, -0.852795, 0.414429, 0.249519
0.034260, -0.843048, 0.423698, 0.223522
0.034750, -0.836315, 0.422878, 0.170193
0.036258, -0.830021, 0.434475, 0.226707
0.036746, -0.833092, 0.428391, 0.233002
0.037244, -0.833588, 0.434952, 0.211124
0.037728, -0.829849, 0.445690, 0.192642
0.038254, -0.832386, 0.440617, 0.182819
0.038718, -0.829430, 0.439301, 0.186787
0.039207, -0.820675, 0.447102, 0.202236
0.039746, -0.815754, 0.447826, 0.213070
0.040230, -0.817661, 0.441666, 0.211792
0.040716, -0.817070, 0.440159, 0.190411
0.041207, -0.814228, 0.450554, 0.186844
0.041707, -0.813103, 0.463333, 0.192661
0.042183, -0.818672, 0.455418, 0.211086
0.042709, -0.819416, 0.449524, 0.221958
0.043194, -0.814457, 0.453720, 0.229683
0.043684, -0.809307, 0.451469, 0.213909
0.044203, -0.808849, 0.451775, 0.195980
0.044686, -0.807495, 0.459957, 0.198631
0.045683, -0.805054, 0.451889, 0.215378
0.046165, -0.803165, 0.455780, 0.214920
0.046659, -0.800953, 0.462360, 0.217571
0.047142, -0.797443, 0.464954, 0.226059
0.048161, -0.795536, 0.473156, 0.241394
0.048644, -0.790653, 0.477123, 0.233994
0.049125, -0.786991, 0.478306, 0.232296
0.049609, -0.776672, 0.488319, 0.259991
0.050628, -0.755939, 0.498047, 0.267830
0.051118, -0.766888, 0.490875, 0.242863
0.051633, -0.786819, 0.478134, 0.203762
0.052116, -0.815620, 0.464859, 0.184231
0.052632, -0.831299, 0.456161, 0.189171
0.053587, -0.818539, 0.438366, 0.219879
0.054093, -0.814457, 0.443668, 0.214691
0.054597, -0.815620, 0.449791, 0.202389
0.055110, -0.811558, 0.450993, 0.198402
0.055599, -0.798931, 0.460739, 0.215950
0.056117, -0.785751, 0.471249, 0.226593
0.056608, -0.776424, 0.482674, 0.237217
0.057094, -0.776081, 0.491943, 0.234890
0.057569, -0.786152, 0.489006, 0.232105
0.058186, -0.788975, 0.483799, 0.228062
0.058562, -0.777588, 0.488815, 0.240841
0.059157, -0.781384, 0.490952, 0.223656
0.059584, -0.783119, 0.505428, 0.220375
0.060065, -0.767899, 0.502892, 0.228310
0.060621, -0.758171, 0.489902, 0.223598
0.061088, -0.758228, 0.501060, 0.231304
0.062140, -0.759296, 0.513153, 0.235062
0.062521, -0.759258, 0.509319, 0.246601
0.062996, -0.763550, 0.511818, 0.239964
0.063988, -0.722408, 0.523930, 0.274563
0.064510, -0.688152, 0.531788, 0.279961
0.064993, -0.665321, 0.535545, 0.301170
0.065472, -0.652485, 0.549259, 0.314236
0.065997, -0.664139, 0.547371, 0.293331
0.066458, -0.720425, 0.537415, 0.237198
0.067479, -0.864048, 0.490608, 0.141430
0.067969, -0.893269, 0.442772, 0.108490
0.068458, -0.887318, 0.416946, 0.088215
0.068937, -0.872974, 0.422878, 0.070305
0.069472, -0.871277, 0.433407, 0.054302
0.069941, -0.877266, 0.429478, 0.025482
0.070449, -0.888519, 0.429344, 0.019531
0.070948, -0.902672, 0.427856, 0.015984
0.071940, -0.884418, 0.412502, 0.046616
0.072414, -0.864105, 0.405693, 0.060978
0.072948, -0.858917, 0.407124, 0.070801
0.073422, -0.868797, 0.412064, 0.081482
0.073925, -0.871067, 0.411930, 0.063992
0.074430, -0.875263, 0.415287, 0.077057
0.075378, -0.873337, 0.415192, 0.101776
0.075910, -0.863724, 0.410233, 0.123978
0.076399, -0.847816, 0.412655, 0.133953
0.076914, -0.843697, 0.418739, 0.129471
0.077369, -0.845604, 0.430508, 0.130730
0.077858, -0.842209, 0.425720, 0.123558
0.078433, -0.838375, 0.430622, 0.139694
0.078840, -0.838642, 0.429649, 0.149250
0.079344, -0.847721, 0.429115, 0.159035
0.080360, -0.851555, 0.409508, 0.140209
0.080863, -0.858116, 0.404243, 0.132275
0.081323, -0.861645, 0.404358, 0.134621
0.081840, -0.864697, 0.397282, 0.137043
0.082380, -0.864353, 0.400372, 0.143452
0.082844, -0.856819, 0.389843, 0.147552
0.083441, -0.856190, 0.399475, 0.153522
0.083828, -0.855980, 0.398674, 0.147934
0.084448, -0.855103, 0.399742, 0.145969
0.084814, -0.853329, 0.395794, 0.144310
0.085321, -0.848579, 0.404568, 0.158730
0.085781, -0.844555, 0.405312, 0.164070
0.086287, -0.846214, 0.408020, 0.171280
0.086768, -0.840015, 0.410271, 0.164814
0.087302, -0.831051, 0.411263, 0.164871
0.087778, -0.828152, 0.415497, 0.161743
0.088280, -0.827408, 0.420361, 0.161648
0.088769, -0.826340, 0.422859, 0.166550
0.089295, -0.827637, 0.423183, 0.169239
