time, x, y, z 
0.000142, -0.739079, 0.437927, -0.393162
0.000611, -0.740261, 0.437088, -0.393925
0.000843, -0.738583, 0.435715, -0.392361
0.001066, -0.740356, 0.436974, -0.389595
0.001288, -0.741882, 0.435467, -0.391731
0.001510, -0.741844, 0.435524, -0.395241
0.001734, -0.738602, 0.436172, -0.391941
0.001953, -0.739040, 0.436287, -0.391407
0.002176, -0.742435, 0.435009, -0.394001
0.002396, -0.743923, 0.433769, -0.395279
0.002614, -0.745201, 0.435295, -0.393124
0.002836, -0.741386, 0.434914, -0.394001
0.003057, -0.745106, 0.433483, -0.395298
0.003276, -0.751400, 0.431652, -0.395412
0.003495, -0.748081, 0.432415, -0.393410
0.003716, -0.741119, 0.433083, -0.394726
0.003935, -0.743828, 0.430946, -0.391922
0.004154, -0.743351, 0.431404, -0.389786
0.004373, -0.743542, 0.431099, -0.387802
0.004593, -0.744438, 0.430984, -0.384750
0.004814, -0.747089, 0.426865, -0.385647
0.005088, -0.747795, 0.431004, -0.381470
0.005405, -0.747986, 0.426350, -0.378227
0.005628, -0.747662, 0.427685, -0.377274
0.005851, -0.749569, 0.426407, -0.374680
0.006074, -0.748272, 0.426006, -0.372734
0.006296, -0.749397, 0.427532, -0.373554
0.006517, -0.750065, 0.427742, -0.369186
0.006739, -0.748291, 0.427017, -0.366745
0.006963, -0.749969, 0.424423, -0.368958
0.007184, -0.747108, 0.429287, -0.368042
0.007406, -0.746861, 0.429783, -0.366764
0.007628, -0.747681, 0.428867, -0.363579
0.007849, -0.744553, 0.428467, -0.362167
0.008073, -0.740719, 0.428143, -0.363846
0.008294, -0.741367, 0.430489, -0.364418
0.008516, -0.741081, 0.430183, -0.364265
0.008737, -0.739651, 0.429554, -0.363293
0.008960, -0.735626, 0.432434, -0.365391
0.009182, -0.740051, 0.428486, -0.364799
0.009403, -0.740452, 0.433140, -0.365086
0.009624, -0.739746, 0.435200, -0.365009
0.009845, -0.736217, 0.436668, -0.363083
0.010317, -0.736027, 0.435448, -0.360718
0.011111, -0.737705, 0.434647, -0.359173
0.011238, -0.734463, 0.436134, -0.358124
0.011720, -0.736637, 0.434513, -0.360661
0.012215, -0.736637, 0.434856, -0.356922
0.012717, -0.733738, 0.440960, -0.353680
0.013206, -0.733528, 0.442924, -0.352058
0.013694, -0.735455, 0.440598, -0.347652
