time, x, y, z 
0.000118, -0.444660, 0.126648, -0.783253
0.000451, -0.440006, 0.132217, -0.773926
0.000579, -0.438175, 0.137787, -0.767746
0.000694, -0.432777, 0.147381, -0.767059
0.000809, -0.432243, 0.155907, -0.773716
0.000921, -0.433540, 0.164700, -0.781193
0.001032, -0.433407, 0.168686, -0.785179
0.001144, -0.432892, 0.166855, -0.780716
0.001256, -0.430603, 0.165119, -0.770855
0.001366, -0.427361, 0.162621, -0.763035
0.001477, -0.428696, 0.163403, -0.755920
0.001589, -0.429611, 0.167255, -0.753479
0.001700, -0.428925, 0.170727, -0.754166
0.001811, -0.427399, 0.171738, -0.754852
0.001921, -0.425835, 0.174103, -0.753651
0.002033, -0.426025, 0.175724, -0.750885
0.002142, -0.430813, 0.177345, -0.746250
0.002251, -0.430965, 0.175171, -0.745068
0.002363, -0.430965, 0.174732, -0.743294
0.002472, -0.431747, 0.179882, -0.741024
0.002581, -0.427856, 0.183563, -0.736675
0.002690, -0.431385, 0.183315, -0.735912
0.002797, -0.431614, 0.184841, -0.733662
0.002907, -0.431442, 0.188160, -0.733452
0.003015, -0.429897, 0.185699, -0.732803
0.003124, -0.432701, 0.192566, -0.729675
0.003233, -0.428982, 0.200615, -0.726681
0.003343, -0.426579, 0.205402, -0.723953
0.003452, -0.425587, 0.199242, -0.721226
0.003561, -0.427151, 0.199165, -0.720291
0.003669, -0.425854, 0.200672, -0.717602
0.004186, -0.422726, 0.204277, -0.714321
0.004567, -0.422802, 0.207005, -0.713482
0.005080, -0.427036, 0.209560, -0.709705
0.005596, -0.422859, 0.208664, -0.706940
0.006110, -0.421429, 0.208836, -0.702705
0.006627, -0.422783, 0.209255, -0.700798
0.007338, -0.425415, 0.212746, -0.698586
0.007617, -0.423698, 0.215054, -0.697975
0.008136, -0.422001, 0.218296, -0.693531
0.008667, -0.424786, 0.222149, -0.691624
0.009051, -0.423965, 0.222969, -0.684128
0.009571, -0.426273, 0.224247, -0.679722
0.010098, -0.428410, 0.221806, -0.679455
0.016139, -0.425167, 0.220375, -0.678539
0.016221, -0.424633, 0.222740, -0.675755
0.016300, -0.427895, 0.227299, -0.672855
0.016406, -0.425262, 0.228405, -0.667896
0.016489, -0.428085, 0.229874, -0.665951
0.016582, -0.424976, 0.233097, -0.663757
0.016663, -0.427742, 0.228920, -0.665359
0.016741, -0.430527, 0.229206, -0.664043
0.016819, -0.429306, 0.228825, -0.658855
0.016967, -0.433846, 0.230160, -0.656700
0.017130, -0.433273, 0.225849, -0.657024
0.017297, -0.434761, 0.226212, -0.661640
0.017389, -0.440769, 0.226974, -0.670643
0.017477, -0.443726, 0.228634, -0.677872
0.017557, -0.447559, 0.228558, -0.683460
0.018009, -0.454960, 0.224209, -0.683460
0.018403, -0.459538, 0.221500, -0.682659
0.018898, -0.462246, 0.219860, -0.681629
0.019447, -0.470200, 0.219326, -0.684032
0.019949, -0.473576, 0.217991, -0.683727
0.020434, -0.475101, 0.214481, -0.680294
0.020954, -0.478516, 0.210075, -0.681419
0.021441, -0.486164, 0.205803, -0.682926
0.021861, -0.488510, 0.206451, -0.687580
0.022420, -0.498085, 0.203552, -0.690708
0.022871, -0.501518, 0.204563, -0.696430
0.023376, -0.504780, 0.203114, -0.698299
0.023872, -0.506554, 0.202618, -0.698872
0.024407, -0.506458, 0.200901, -0.700989
0.024902, -0.508175, 0.199337, -0.699406
0.025407, -0.511723, 0.202026, -0.705109
0.025861, -0.513592, 0.203171, -0.711746
0.026400, -0.515785, 0.202045, -0.716381
0.026891, -0.516300, 0.201015, -0.714397
0.027310, -0.513763, 0.208874, -0.720272
0.027860, -0.520935, 0.211716, -0.729027
0.028293, -0.518990, 0.214634, -0.732498
