time, x, y, z 
0.000125, -0.736046, 0.141392, -0.539684
0.000299, -0.736008, 0.142899, -0.543385
0.000396, -0.737762, 0.143986, -0.544834
0.000478, -0.739231, 0.146561, -0.546074
0.000560, -0.737343, 0.147934, -0.550480
0.000642, -0.738182, 0.145817, -0.550156
0.000722, -0.738239, 0.147247, -0.551262
0.000802, -0.739441, 0.147095, -0.553608
0.000881, -0.742912, 0.149899, -0.557327
0.000963, -0.742359, 0.151272, -0.557137
0.001044, -0.737267, 0.150337, -0.554600
0.001139, -0.741692, 0.150566, -0.555687
0.001221, -0.745106, 0.154629, -0.557003
0.001300, -0.746078, 0.160084, -0.557690
0.001380, -0.750141, 0.159760, -0.555496
0.001459, -0.750465, 0.162449, -0.556316
0.001539, -0.750713, 0.163822, -0.552807
0.001618, -0.748844, 0.162716, -0.549412
0.001697, -0.753002, 0.166931, -0.549030
0.001777, -0.752678, 0.170631, -0.550900
0.001857, -0.754623, 0.169392, -0.550423
0.001935, -0.755978, 0.169353, -0.550671
0.002014, -0.757236, 0.170078, -0.548248
0.002093, -0.757675, 0.173702, -0.545864
0.002171, -0.757866, 0.174160, -0.543098
0.002250, -0.758610, 0.178967, -0.544453
0.002330, -0.757275, 0.179195, -0.543556
0.002409, -0.755749, 0.181370, -0.538177
0.002489, -0.757809, 0.182419, -0.538330
0.002885, -0.759277, 0.181751, -0.538578
0.003385, -0.759354, 0.182991, -0.537758
0.003885, -0.761452, 0.184746, -0.536366
0.004390, -0.758724, 0.184422, -0.536671
0.004886, -0.759773, 0.187206, -0.538235
0.005383, -0.761204, 0.184021, -0.537853
0.005880, -0.760307, 0.190792, -0.536957
0.006377, -0.762272, 0.187302, -0.535583
0.006874, -0.759182, 0.186100, -0.538578
0.007369, -0.761909, 0.188770, -0.539017
0.007863, -0.762005, 0.186558, -0.540619
0.008358, -0.761814, 0.187988, -0.539780
0.008852, -0.760345, 0.188351, -0.542469
0.009345, -0.761604, 0.188084, -0.544033
0.010337, -0.759850, 0.183945, -0.547447
0.010831, -0.761528, 0.187111, -0.550385
0.011323, -0.762501, 0.183544, -0.553036
0.011812, -0.759201, 0.187893, -0.550022
0.012303, -0.756569, 0.189629, -0.549603
0.012795, -0.756645, 0.188484, -0.551205
0.013287, -0.754299, 0.188389, -0.551052
0.013785, -0.751820, 0.190525, -0.552311
0.014285, -0.753632, 0.193310, -0.548725
0.014785, -0.753555, 0.191956, -0.547600
0.015296, -0.751305, 0.189075, -0.551243
0.015796, -0.749836, 0.191650, -0.551605
0.016263, -0.750999, 0.195217, -0.551987
0.016755, -0.748539, 0.194225, -0.552635
0.017251, -0.745239, 0.195141, -0.552483
0.017740, -0.741425, 0.192986, -0.550938
0.018237, -0.742741, 0.189571, -0.548058
