time, x, y, z 
0.000113, -0.838451, 0.400963, 0.274487
0.000251, -0.845795, 0.362072, 0.300350
0.000310, -0.843086, 0.351868, 0.310001
0.000361, -0.827255, 0.390968, 0.278187
0.000414, -0.828209, 0.408859, 0.260963
0.000461, -0.840549, 0.396023, 0.272923
0.000511, -0.834007, 0.393944, 0.316334
0.000559, -0.825386, 0.397282, 0.331726
0.000607, -0.814800, 0.396233, 0.305557
0.000654, -0.804825, 0.408134, 0.289879
0.000702, -0.805740, 0.422058, 0.311584
0.000751, -0.812321, 0.409279, 0.352116
0.000800, -0.806389, 0.399876, 0.331020
0.000890, -0.804005, 0.405426, 0.287666
0.000974, -0.812855, 0.424671, 0.295563
0.001055, -0.818558, 0.430965, 0.291042
0.001135, -0.810013, 0.421429, 0.299625
0.001215, -0.809383, 0.420361, 0.300255
0.001295, -0.813389, 0.418243, 0.276909
0.001374, -0.804729, 0.418301, 0.282516
0.001453, -0.800476, 0.435677, 0.299854
0.001532, -0.802021, 0.440502, 0.310822
0.001614, -0.809937, 0.427055, 0.305233
0.001696, -0.802002, 0.442238, 0.310402
0.001777, -0.789433, 0.452538, 0.275726
0.001865, -0.790958, 0.443630, 0.273209
0.001947, -0.797882, 0.438957, 0.298004
0.002136, -0.803032, 0.441303, 0.325699
0.002640, -0.797310, 0.440884, 0.310040
0.003142, -0.792561, 0.433826, 0.265903
0.003648, -0.792847, 0.438137, 0.283413
0.004149, -0.791664, 0.442371, 0.319614
0.004649, -0.795746, 0.438709, 0.302429
0.005150, -0.801849, 0.438824, 0.287762
0.005650, -0.800018, 0.445194, 0.257969
0.006150, -0.799599, 0.446796, 0.271168
0.006598, -0.797005, 0.439529, 0.270844
0.007074, -0.789356, 0.449371, 0.287704
0.008090, -0.770321, 0.459480, 0.295277
0.008585, -0.749874, 0.465298, 0.317039
0.009078, -0.731754, 0.470715, 0.345192
0.009573, -0.723000, 0.475197, 0.343533
0.010065, -0.725155, 0.484734, 0.327187
0.010559, -0.748787, 0.485096, 0.302296
0.011054, -0.767727, 0.474110, 0.305824
0.011547, -0.767841, 0.456028, 0.304470
0.012039, -0.755234, 0.457764, 0.302067
0.012534, -0.739059, 0.475483, 0.278149
0.013024, -0.727577, 0.489502, 0.284672
0.013518, -0.739250, 0.485153, 0.265636
0.014015, -0.772476, 0.469074, 0.247555
0.014518, -0.776253, 0.474472, 0.237865
0.015013, -0.744438, 0.479546, 0.241261
0.015515, -0.710392, 0.460300, 0.264454
0.016016, -0.707550, 0.456562, 0.296459
0.016529, -0.728722, 0.461025, 0.314484
0.017011, -0.750523, 0.469437, 0.279503
0.017507, -0.746136, 0.489273, 0.256691
0.018011, -0.746174, 0.510178, 0.245018
0.018514, -0.749226, 0.514698, 0.223427
0.019010, -0.756454, 0.515289, 0.258846
0.019459, -0.773792, 0.508728, 0.232372
0.020000, -0.798721, 0.487709, 0.183163
0.020480, -0.817299, 0.470219, 0.200100
0.021483, -0.810452, 0.420532, 0.138054
0.021956, -0.815372, 0.437813, 0.158749
0.022447, -0.826225, 0.431786, 0.142937
0.022973, -0.839920, 0.428219, 0.147839
0.023476, -0.844688, 0.450039, 0.176449
0.023974, -0.870056, 0.470257, 0.162640
0.024469, -0.893898, 0.465202, 0.152893
0.024966, -0.884628, 0.458469, 0.164623
0.025459, -0.860081, 0.455437, 0.136623
0.025953, -0.849533, 0.474472, 0.121231
0.026446, -0.864315, 0.477676, 0.091763
0.026972, -0.909500, 0.443802, 0.047226
0.027469, -0.941181, 0.371304, 0.045757
0.027963, -0.968838, 0.340767, 0.063725
0.028377, -0.979691, 0.340328, 0.087280
0.028873, -0.974350, 0.323696, 0.082607
0.029377, -0.962353, 0.333652, 0.084133
0.029869, -0.952511, 0.330219, 0.091400
0.030458, -0.925579, 0.353069, 0.139694
0.030861, -0.863228, 0.397758, 0.185852
0.031362, -0.773983, 0.446835, 0.224934
0.031860, -0.686340, 0.515232, 0.258904
0.032354, -0.628395, 0.584221, 0.298061
0.032850, -0.627785, 0.618858, 0.331516
0.033345, -0.673981, 0.598812, 0.345287
0.033851, -0.729332, 0.572796, 0.347824
0.034328, -0.756683, 0.545254, 0.333576
0.034828, -0.770607, 0.509186, 0.332813
0.035321, -0.786648, 0.479851, 0.328636
0.035817, -0.775566, 0.440197, 0.282593
0.036311, -0.760612, 0.414543, 0.242157
0.036814, -0.780869, 0.395870, 0.203533
0.037312, -0.859718, 0.383224, 0.185986
0.037806, -0.969620, 0.334301, 0.162678
0.038298, -1.048412, 0.300751, 0.145626
0.038793, -1.071472, 0.275726, 0.099163
0.039285, -1.020908, 0.300026, 0.064144
0.039780, -0.925312, 0.341053, 0.053272
0.040274, -0.823269, 0.411644, 0.076809
0.040767, -0.746212, 0.483494, 0.102272
0.041260, -0.700703, 0.540161, 0.130100
0.041752, -0.675125, 0.573997, 0.133705
0.042246, -0.652828, 0.596619, 0.145988
0.043258, -0.614185, 0.631390, 0.158844
0.043752, -0.646076, 0.606804, 0.150204
0.044245, -0.712585, 0.560036, 0.099792
0.044738, -0.770721, 0.480366, 0.053272
0.045232, -0.846386, 0.415649, 0.052376
0.045747, -0.932655, 0.373650, 0.107422
0.046722, -1.014538, 0.335083, 0.007401
0.047725, -0.978565, 0.364246, 0.029163
0.048225, -0.869560, 0.412979, 0.044174
0.048716, -0.758572, 0.490761, 0.088596
0.049208, -0.710812, 0.564842, 0.070286
0.049704, -0.758629, 0.549374, 0.097637
0.050218, -0.810204, 0.556068, 0.085773
0.050696, -0.830002, 0.517445, 0.110264
0.051170, -0.817814, 0.475292, 0.167122
0.051678, -0.823097, 0.463238, 0.156670
0.052667, -0.967999, 0.311241, 0.214863
0.053151, -0.986423, 0.239830, 0.154686
0.053676, -1.001644, 0.240707, 0.165424
0.054162, -1.057053, 0.246525, 0.176811
0.054641, -1.129360, 0.260162, 0.217133
0.055135, -1.116333, 0.335846, 0.116768
0.055666, -1.043167, 0.357018, 0.127258
0.056144, -0.966911, 0.281162, 0.177212
0.056633, -0.909729, 0.224266, 0.156765
0.057130, -0.903835, 0.211773, 0.207043
0.057622, -0.926285, 0.242805, 0.322170
0.058113, -0.903416, 0.302944, 0.292549
0.058632, -0.892258, 0.302753, 0.186596
0.059097, -0.924091, 0.311661, 0.203171
0.059623, -0.958824, 0.361309, 0.177460
0.060103, -0.964088, 0.338821, 0.228653
0.060574, -0.909138, 0.315800, 0.204353
0.061104, -0.829639, 0.354156, 0.206738
0.061574, -0.772095, 0.391979, 0.264530
0.062115, -0.746002, 0.434322, 0.243492
0.062603, -0.758266, 0.475559, 0.246258
0.063081, -0.799885, 0.471840, 0.245037
0.063555, -0.855160, 0.472088, 0.194035
0.064090, -0.929527, 0.364399, 0.308914
0.064574, -0.967140, 0.278988, 0.328617
0.065067, -0.929337, 0.259876, 0.230846
0.065556, -0.877399, 0.271435, 0.200176
0.066030, -0.864773, 0.371323, 0.031357
